accessories,accommodation,alcohol,audio_equipment,beverages,books,cameras,car_rentals,clothing,coffee_shops,dairy_products,desktops,electronics,fast_food,food_delivery,fruits,groceries,gym_memberships,jewelry,laptops,magazines,meat,movies,music,outdoor_activities,public_transportation,restaurant_meals,seafood,shoes,smartphones,snacks,software,sports_equipment,streaming_services,tablets,travel,vegetables,video_games,watches,income
0.03,7.68,17.81,8.65,25.25,6.15,5.26,6.09,0.35,18.89,44.55,5.59,17.01,36.22,26.97,35.8,53.15,5.67,1.65,11.32,2.62,44.29,4.52,4.87,6.48,6.95,34.68,35.81,2.59,13.33,26.6,4.44,2.73,9.17,9.78,6.87,34.73,12.48,0.39,90.08
32.14,50.7,47.18,105.53,69.34,26.61,69.45,38.98,54.9,46.62,118.64,69.1,173.26,94.81,71.29,96.63,143.6,40.59,22.41,104.18,26.4,120.02,38.52,38.87,39.82,38.03,95.11,94.76,44.35,141.14,69.43,69.34,25.72,51.99,102.86,53.84,95.1,140.8,20.66,860.84
33.02,95.45,54.53,61.94,82.76,47.6,41.6,71.23,55.5,54.87,138.25,41.4,103.74,109.29,84.33,108.54,166.7,69.6,22.45,61.62,47.67,137.35,70.25,72.37,70.7,71.58,112.41,109.49,46.01,82,83.38,40.24,47.47,93.55,62.11,95.07,110.33,83.38,22.1,629.26
28.4,54.1,7.21,4.27,12.66,26.28,3.21,39.05,46.9,7.63,22.62,3.6,6.5,18.99,12.81,17.32,26.85,39.22,19.65,6.15,24.56,22.86,38.82,40.09,39.08,39.17,17.38,17.92,37.67,7.41,13.43,3.49,28.43,54.2,5.11,51.34,17.17,4.79,17.75,149.23
10.17,7.07,45.75,119.42,65.71,3.04,81.97,4.1,16.02,44.39,114.06,79.95,200.31,91.17,68.07,90.51,135.31,5.57,7.26,121.38,2.97,113.69,5.79,6.93,6.92,4.83,90.81,90.81,12.24,161.36,67.26,80.87,4.33,8.39,120.43,8.4,91.29,160.29,8.26,876.74
2.23,66.2,24.07,57.19,40.45,33.3,38.01,51.57,0.88,26.49,63.32,39.53,96.42,50.59,38.21,50.68,77.9,51.42,1.15,58.96,32.95,64.22,52.26,51.35,50.12,49.71,50.6,50.55,1.47,78.68,35.43,37.98,32.35,66.22,59.57,68.05,50.88,79.07,2.39,484.83
8.07,37.94,53.3,47.38,81.05,19.03,31.49,29.35,14.69,53.63,136.03,30.34,80.54,108.77,80.59,107.19,161.85,29.54,5.58,49.23,18.77,135.46,27.94,29.9,28.09,27.17,108.65,107.63,10.38,64.67,81.45,31.2,19.69,35.95,47.61,38.96,106.42,64.49,4.66,425.05
37.83,34.01,28.74,65,45.43,17.21,42.73,25.11,66.21,28.54,73.55,43.19,106.66,58.09,45.17,60.82,87.91,26,27.31,66.02,16.81,73.12,25.66,23.54,25.43,26.15,58.84,59.43,51.52,85.65,44.46,43.43,17.5,35.73,63.58,33.94,60.99,85.74,27.15,569.63
15.27,60.98,38.94,71.71,58.76,30.05,48.97,47.72,24.83,37.88,97.03,49,118.68,78.85,59.05,78.5,118.67,43.85,8.37,73.41,31.78,99.41,47.3,46.89,43.68,45.56,77.17,78.07,19.4,97.59,60.11,48.07,30.95,63.16,72.95,61.75,78.37,94.04,9.64,610.83
14.68,70.81,51.3,119.79,81.69,34.88,80.02,52.89,27.65,53.52,133.03,80.26,201.47,106.53,78.67,106.12,158.5,54.05,11.31,120.32,36,130.5,53.27,52.44,53.34,53.02,105.57,105.54,20.29,161.74,77.77,80.67,35.17,71.35,122.52,69.78,106.37,160.83,10.44,961.95
5.85,56.63,39.36,61.81,61.07,29.73,41.32,42.35,9.81,40.34,99.38,41.73,102.56,80.44,58.81,80.5,120.64,41.55,2.78,62.52,28.94,100.14,42.64,41.5,41.4,41.9,81.36,81.01,7.68,82.13,61.07,42.43,27.13,57.9,61.47,56.19,79.06,83.37,3.29,524.11
13.63,23.55,30.39,79.59,45.33,14.05,53.66,15.75,23.35,28.45,75.62,52.71,132.9,60.35,46.49,60.51,90.58,18.07,8.46,78.77,13.62,75.82,16.05,17.97,16.65,18.24,60.02,61.69,19.56,105.14,45.29,52.99,12.45,22.19,78.25,22.87,58.39,106.26,10.15,610.92
18.98,84.47,13.79,6.61,23.28,41.27,1.23,63.04,31.03,14.41,39.16,3.41,9.02,31.34,23.15,32.79,49.97,63.2,11.15,6.1,42.05,38.52,62.92,60.5,63.61,63.11,30.53,32.35,25.56,7.71,22.76,3.69,41.16,83.77,4.44,84.68,31.69,8.33,12.1,171.46
5.47,48.07,20.04,22.45,27.35,23.92,15.41,37.46,9.39,18.16,46.13,15.13,38.34,35.15,26.5,36.6,55.28,35.59,5.53,21.19,25.63,45.42,37.99,37.48,35.7,36.39,35.55,37.24,7.1,28.94,28.7,15.03,25.87,48.99,20.92,48.8,36.3,30.74,3.94,225.53
16.55,64.7,36.95,99.11,54.69,30.78,66.28,46.76,27.15,37.74,89.76,64.86,164.34,71.05,54.14,71.78,108.51,49.82,9.58,98.89,32.23,88.66,47.8,49.74,47.11,48.41,72.29,70.34,22.11,133.35,53.85,65.58,32.8,63.01,100.57,64.93,74.01,132.01,12.05,794.45
6.3,81.97,68.94,21.02,104.74,40.15,14.26,61.74,14.03,67.28,173.37,13.79,36.31,139.72,105.81,138.55,208.37,61.56,4.52,20.93,43.58,173.1,62.41,62.08,61.12,61.27,137.06,138.5,11.84,28.98,104.28,13.73,41.69,82.4,23.05,81.68,139.48,28.17,6.1,314.41
3.53,53.16,63,138.73,91.39,24.82,92.16,40.25,4.51,61.98,154.39,90.84,230.62,124.1,91,124.06,185.5,39.7,2.96,139.85,27.41,152.61,38.82,42,41.1,38.98,122.04,123.88,4.22,185.23,92.84,92.95,27.16,54.01,139.25,53.19,122.63,184.67,1.61,1047.2
2.45,77.19,13.37,140.05,18.9,37.05,92.59,58.05,1.18,12.98,35.7,94.01,233.67,28.49,20.4,26.44,41.52,56.11,-1.19,140.77,40.37,33.32,56.98,58.05,58.45,57.05,27.61,26.37,2.33,186.34,17.52,93.37,37.1,76.67,138.85,76.43,26.63,186.91,1.31,1027.49
24.84,21.68,12.47,19.56,18.25,10.28,13.57,15.12,38.75,11.09,28.01,14.03,35.35,22.6,19.31,21.6,33.35,15.13,17.13,21.95,9.74,27.08,14.09,16.25,16.52,16.99,20.69,19.42,30.16,27.91,17,14.2,10.91,21.3,19.99,20.51,21.89,28.67,14.97,220.37
41.47,81.34,68.31,133.86,103.69,38.75,89.48,59.38,67.86,68.12,171.17,88.14,220.27,138.13,102.5,135.92,203.12,59.92,28.24,130.74,38.15,171.1,57.96,62,59.1,61.52,136.76,135.25,55.74,178.66,103.37,88.35,41.03,79.35,132.23,80.69,135.88,175.4,26.43,1113.74
21.97,53.52,31.66,80.24,46.07,27.85,52.84,40.55,37.9,31.54,79.02,55.96,136.14,62.75,45.02,61.79,94.14,40.15,15.06,81.84,26.94,76.96,39.34,41.15,39.8,39.78,61.5,63,29.39,109.41,46.6,54.33,27.26,52.35,78.06,52.6,61.63,108.76,15.82,668.03
26.5,81.27,64.43,103.26,96.79,37.49,67.57,59.99,43,64.21,160.65,68.95,172.85,129.71,94.83,129.86,196.15,59.48,17.38,103.79,38.6,161.3,60.42,60.04,60.85,59.98,129.46,127.42,33.87,136.99,97.45,68.52,39.16,79.18,103.19,79.92,130.96,137.3,17.31,886.33
27.3,61.03,18.5,70.12,28.3,30.53,47.32,44.59,45.04,17.56,45.72,46.52,118.71,36.36,26.27,37.54,54.96,44.69,17.61,70.25,29.1,46.23,43.14,45.02,43.83,46.14,36.11,36.88,36.37,92.45,26.4,47.57,30.36,59.91,70.24,59.44,36.75,93.46,18.67,604.84
2.94,76.57,7.43,53.49,9.97,38.95,34.92,57.09,2.54,8.46,18.98,33.06,88.81,14.67,10.77,16.31,23.16,57.08,3.1,52.83,36.82,19.06,58.07,58.11,57.43,57.21,14.91,16.01,5.02,69.7,11.61,34.42,37.69,77.03,51.92,78.83,16.1,68.48,1.75,435.8
0.64,66.05,60.85,61.08,89.11,34.04,41.08,50.39,3.24,60.56,151.5,42.52,100.97,120.53,89.41,119.13,178.18,49.31,0.78,60.75,32.83,150.28,51.91,52.25,48.87,50.71,119.86,119.08,2.04,81.81,90.75,41.01,31.81,67.75,59.92,66.52,119.81,82.36,0.61,534.9
41.13,71.63,3.58,51.33,5.45,34.15,34.25,52.12,67.71,3.8,10.03,34.69,85.96,9.26,4.8,8.01,10.24,52.68,26.42,52.51,34.46,11.16,51.76,51.44,52.9,52.01,8.72,8.2,53.68,67.87,6.39,33.66,36.67,69.63,51.55,69.58,8.13,68.91,28.5,496.77
25.53,27.83,63.17,111.94,94.42,15.56,74.51,20.92,43.05,65.68,159.73,75.93,185.98,128.37,97.23,126.47,191.75,20.37,17.97,112.54,16.18,158.24,23.28,20.81,21.53,19.2,127.31,127.88,36.65,149.01,97.25,75.02,15.2,29.09,112.16,27.88,126.86,147.04,18.18,887.66
35.53,64.39,49.8,46.31,71.45,31.2,30.89,48.66,60.3,48.85,120.33,30.99,75.03,96.11,71.35,96.82,145.97,50.56,23.48,45.1,31.21,122.42,48.18,50.12,49.79,45.98,97.1,98.37,48.99,59.7,72.64,31.47,32.71,65.83,46.26,64.95,98.85,61.47,24.39,491.07
18.73,89.14,8.47,63.24,14.84,43.48,42.6,66.92,29.49,8.43,23.16,43.35,106.53,19.45,14.23,18.64,28.13,67.24,11.48,66.64,41.87,24.19,67.14,66.48,66.85,67.02,20.14,18.25,24.6,85.81,13.85,41.51,45.24,89.01,65.08,89.55,19.42,86.07,12.33,564.9
-0.31,98.44,50.04,128.33,77.33,48.25,85.63,72.03,0.71,50.62,127.34,84.41,212.31,101.19,75.64,100.99,152.87,71.93,0.91,128.07,49.45,128.8,70.64,71.32,71.71,73.31,101.68,100.94,1.16,170.6,77.49,85.4,49.57,97.23,127.4,96.65,100.5,170.01,0.8,1000.34
42.3,55.86,1.96,142.61,3.05,28.99,93.91,42.7,72.6,0,3.95,96,240.9,3.91,3.4,3.08,4.48,39.85,27.69,143.96,27.22,6.38,41.07,40.96,39.79,42.1,2.67,2.73,56.53,188.51,1.61,96.71,26.34,53.91,143.58,56.39,3.44,190.93,26.36,1095.71
27.84,63.58,17.25,125.74,27.2,33.31,85.65,49.37,44.97,19.33,49.15,85.74,214.02,39.54,31.59,39.34,58.74,47.43,17.86,125.48,30.89,47.96,46.93,49.16,49.96,49.05,39.08,38.82,37.13,170.47,29.91,84.93,33.76,66.2,127.98,66.12,39.53,168.97,18.35,985.96
26.9,44.39,52.42,97.17,80.7,22.7,65.79,31.43,46.94,52.71,133.51,67.96,165.26,109.09,80.87,107.58,160.87,33.32,18.12,100.44,21.96,133.84,33.78,33.8,33.3,33.07,108.3,106.88,35.52,132.35,80.61,64.24,22.19,43.19,99.47,43.7,108.25,129.91,18.37,807.23
32.96,54.08,61.92,21.59,92.99,26.85,13.31,40.94,55.46,60.42,151.9,15.65,31.25,122.02,91.37,123.19,184.71,42.52,21.19,19.36,28.69,152.45,39.69,42.95,41.22,43.46,122.93,122.39,42.21,26.28,90.77,12.03,28.37,56.68,19.91,55.34,122,27.18,22.55,313.57
39.77,13.83,9.51,107.06,12.8,7.27,71.23,8.23,65.26,8.59,21.89,72.17,179.61,16.92,11.9,18.59,25.34,10.28,27.47,106.72,7.08,21.25,10.8,8.39,10.85,10.28,16.13,15.2,49.78,142.96,12.62,72.44,6.99,12.31,105.12,12.3,17.05,143.29,26.89,810.71
43.96,76.38,27.66,106.37,41.95,38.73,71.94,59.73,70.55,26,66.68,72.03,177.6,53.06,39.78,53.33,81.65,58.44,28.71,104.47,38.94,66.2,59.21,58.28,57.87,58.61,54.71,53.22,54.16,140.49,40.05,70.68,38.7,77.71,106.19,78.86,53.89,141.37,28.45,896.92
14.99,59.44,60.06,113.33,90.03,29.81,75.64,46.42,25.65,60.34,147.92,74.44,189.78,117.42,89.44,119.04,177.58,44.05,9.38,114.22,29.77,148.49,42.82,44.85,42.16,44.04,119.37,119.15,21.9,152.72,88.96,76.32,31.35,59.85,114.04,60.02,117.49,154.35,11.37,905.51
28.06,26.44,47.79,79.4,70.68,12.17,52.84,20.68,47.84,47.56,118.94,50.26,131.82,94.17,71.04,95.43,142.79,20.14,19.79,79.76,14.8,118.06,19.16,18.79,19.89,19.86,95.67,95.16,36.48,103.98,71.65,52.34,13.36,26.4,77.85,28.13,97.28,103.86,19.06,656.12
27.19,45.89,11.12,108.64,17.85,23.64,70.35,35.72,43.62,11.86,29.31,72.12,179.05,24.39,17.61,24.4,35.73,37.7,16.92,109.95,23.56,29.32,36.65,33.75,35.01,36.19,23.67,23.34,36.77,143.96,18.53,70.66,23.96,47.73,105.97,47.27,24.13,143.73,16.89,828.89
44.44,54.42,14.47,148.74,21.79,27.41,99.84,39.28,70.89,12.54,34.9,100.16,248.21,26.99,20.62,27.84,42.7,40.07,27.55,148.82,25.6,35.93,39.92,40.27,39.92,39.61,26.61,29.37,55.35,197.78,21.18,98.13,26.58,54.27,147.61,53.29,27.83,199.44,26.96,1143.89
16.49,99.56,27.49,3.94,41.85,48.23,5.19,75.25,32.1,28.94,68.38,2,6.29,57.04,41.62,54.04,83.89,73.5,12.24,4.24,49.62,69.06,73.3,74.23,72.75,73.42,56.24,57.04,21.83,6.12,41.85,2.27,49.37,98.13,2.84,101.1,55.28,4.61,10.57,188
8,35.72,58.22,60,87.95,15.37,38.27,25.14,15.08,59.4,147.57,38.49,99.25,117.15,87.7,116.55,176.1,26.11,5.05,57.56,15.36,146.94,25.18,25.72,26.44,24.88,118.11,117.4,10.16,79.46,87.16,39.89,16.6,33.47,59.21,35.26,117.01,78.44,5.13,502.27
30.95,13.18,48.76,30.58,72.07,6.51,19.77,9.42,53.12,45.96,118.43,21.95,51.73,95.67,70.66,95.98,142.87,9.14,21.03,32.53,6.05,121.59,11.29,9.07,11.07,10.92,94.76,95.95,42.49,41.91,72.45,21.16,6.84,14.03,31.3,13.37,96.03,42.1,21.31,331.5
10.98,29.98,2.35,114.76,5.22,15.8,75,22.45,16.48,4.39,10.4,77.6,191.49,8.05,6.46,7.89,13.37,22.12,7.54,113.8,16.35,9.77,22.85,24.04,22.84,21.62,9.01,9.81,13.44,153.8,5.72,75.67,14.92,31.3,114.24,30.47,9.45,150.8,7.11,820.46
11.09,18.94,20.08,38.96,29.3,12.01,26.82,14.23,20.56,19.57,48.75,28.02,65.22,36.2,28.6,39.19,57.41,13.91,6.73,39.04,9.28,47.63,11.27,15.89,13.77,14.1,37.33,36.89,15.11,53.98,29.22,26.57,11.59,19.68,39.3,21.63,38.21,54.94,5.91,329.05
11.53,3.33,3.75,62,6.66,2.89,42.51,2.05,19.4,4.69,10.59,42.57,103.18,8.6,6.36,9.16,11.92,1.22,8.09,62.87,1.93,9.61,1.36,1.36,0.54,0.51,6.99,9.27,17.79,84.9,6.31,40.89,1.27,-0.33,61.83,1.14,8.76,85.3,7.63,453.59
30.91,73.96,23.73,48.34,34.47,36,31.81,55.04,50.38,21.54,56.29,30.47,80.89,45.21,33.47,45.71,67.88,55.86,19.19,49.35,39.13,55.21,56.85,54.42,55.84,56.47,45.66,43.96,40.85,63.52,32.56,32.47,36.93,74.51,47.65,73.3,43.89,65.43,20.37,478.95
42.7,91.83,15.32,62.38,23.06,46.27,40.7,69.26,68.72,16.9,40.06,43,104.58,29.82,22.89,31.26,43.31,68.05,28.39,64.88,44.75,37.58,67.5,69.91,71.57,69.33,32.07,30.61,57.55,83.09,22.44,39.42,46.94,92.35,61.59,91.15,29.19,83.35,29.87,610.33
15.67,62.03,53.11,32.84,77.9,32.39,21.9,46.3,28.57,52.48,130.77,21.71,56,105.92,77,105.58,157.72,45.99,9.51,34.39,29.87,132.95,47.18,46.11,45.85,44.93,105.3,105.39,23.22,44.28,79.58,22.78,30.51,60.48,34.39,62.35,105.92,44,9.83,374.51
-0.4,22.49,57.47,61.21,86.68,11.95,42.68,18.82,0.71,57.73,142.79,42.78,105.28,117.02,86.38,116.61,173.3,15.73,-0.29,63.13,12.43,145.18,17.73,17.08,17.61,16.42,116.99,114.89,0.83,84.8,85.83,43.08,10.58,25.23,62.79,24.05,115.75,86.71,0.36,502.39
16.28,47.48,2.52,23.23,8.54,23.96,16.32,37.74,25.57,6.27,14.19,15.65,36.48,12.25,8.9,12.05,18.42,37.38,10.06,21.99,24.17,14.07,36.86,35.88,35.17,36.49,13.07,13,20.1,31.48,9.52,15.98,24.91,46.93,22.92,47.22,11.2,30.7,9.36,236.48
19.25,38.82,67.48,44.19,101.28,20.88,27.42,30.09,34.45,67.33,171.1,26.42,70.64,135.23,100.7,135.24,204.28,30.66,13.96,42.13,20.72,170.44,32.2,31.26,31.82,29.7,135.37,136.28,26.42,56.47,100.83,28.36,21.95,41.11,41.9,39.17,136.57,57.44,14.9,432.14
43.09,40.15,53.71,148.16,82.88,20.56,98,30.52,69.56,53.48,137.17,99.56,247.96,110.43,82.57,108.77,162.73,30.53,27.2,149.74,19.6,135.03,30.41,30.38,31.32,28.5,108.15,110.28,57.24,196.77,80.54,99.09,19.87,41.08,147.85,39.72,109.38,196.42,27.46,1171.68
34.97,71.03,57.75,108.04,82.64,36.62,70.97,52.78,55.97,53.3,137.82,72.3,183.04,108.82,80.34,110.44,165.01,53.28,24.07,107.94,35.19,137.36,50.17,51.93,52.09,52.73,111.37,110.19,47.05,143.03,82.28,74.74,35.17,70.35,109.66,69.29,110.18,146.31,24.03,921.13
27.9,28.5,71.61,31.9,103.82,15.37,22.31,20.72,49.46,68.45,171.76,22.46,53.62,140.39,103.87,139.12,207.68,20.47,19.39,31.53,14.79,173.66,21.04,21.41,20.39,22.09,138.14,139.88,39.12,41.56,102.18,21.96,15.19,27.39,32.77,27.62,139.06,43.74,20.26,371.82
1.52,21.3,28.98,27.9,43.98,9.55,19.39,16.36,2.96,29.05,73.35,19.07,47.2,57.46,43.23,57.35,85.26,16.69,2.28,28.7,11.25,71.35,16.57,17.4,15.35,17.5,57.02,57.83,1.09,38.72,43.76,18.79,11.48,21.83,28.53,21.62,58.14,37.69,1.16,244.7
17.7,10.62,6.57,120.12,8.56,6.01,79.75,8.16,29.77,6.26,16.62,78.69,199.03,14.49,10.39,14.48,20.81,8.15,12.66,119.99,6.42,17.1,9.52,9.04,8.78,6.96,13.49,14.35,22.33,158.46,10.47,80.21,5.78,10.47,118.12,11.37,14.84,160.29,9.44,848.68
24.84,6.63,61.04,23.39,91.12,5.49,13.73,5.71,38.26,61.09,153.15,14.81,39.46,122.48,91.88,123.49,182.78,5.95,13.69,22.46,2.54,153.6,7.82,5.08,5.2,6.4,122.16,124.05,32.3,32.01,91.92,15.02,3.35,8.84,23.83,8.06,120.7,29.81,14.01,270.26
44.79,38.9,27.73,27.59,42.02,19.46,16.91,29.36,74.11,28.33,70.21,16.83,44.75,55.15,40.65,55.73,83.37,28.4,29.69,26.09,19.33,69.76,29.05,30.09,26.52,27.82,56.01,55.45,61.07,34.15,41.28,16.05,19.29,39.43,28.11,39.13,56.02,35.43,29.6,330.93
39.33,78.47,29.81,8.49,45.55,39.93,6.61,59.47,66.17,28.5,74.28,8.7,14.98,59.82,44.36,60.39,91.95,60.31,27.63,10.75,38.9,75.01,61.63,59.54,58.55,59.62,61.02,61.64,52.51,13.16,45.89,5.99,38.91,81.42,9.38,79.77,60.61,13.65,28.09,255.29
35.28,88.81,31.91,40,46.88,45.58,25.79,66.87,59.96,30.57,75.31,26.45,67.38,62.3,46.46,59.38,91.03,66.76,21.97,40.57,44.51,75.21,66.86,64.99,67.57,65.59,61.15,61.35,47.38,55.73,45.85,28.65,44.91,88.88,40.77,88.82,61,56.19,24.5,459.72
19.05,42.18,43.35,27.34,67.1,22.55,19.9,30.93,30.77,44.42,110.65,22.3,46.3,86.09,67.19,87.88,133,32.74,11.73,30.62,21.91,109.88,32.71,33.03,33.28,31.17,88.03,89.19,24.42,40.82,66.82,19.43,20.8,43.08,28.13,43.52,89.08,39.05,11.04,318.62
36.82,25.05,46.94,34.94,67.28,13.13,24.34,18.4,61,45.68,113.41,23.15,60.37,91.1,69.21,89.48,137.65,18.43,23.81,34.86,13.36,114.13,18.16,18.1,17.92,20.52,89.95,90.41,48.29,45.89,68.16,25.7,12.53,25.05,34.93,25.45,92.64,47.78,24.67,380.97
34.13,25.55,48.76,89.3,73.17,12.67,59.96,19.8,58.84,48,121.66,58.29,148.83,96.38,73.21,97.95,146,17.93,23.19,89.95,13.84,119.91,21.26,19.63,20.3,21.07,96.08,95.88,46.72,122.12,72.44,59.61,14.1,25.5,89.81,25.67,96.68,118.76,23.11,746.91
47.66,86.56,66.99,140.71,99.99,44.75,92.53,66.78,73.61,68.39,168.67,93.09,230.76,135.04,99.36,134.22,200.18,64,28.54,136.25,43.74,166.34,64.5,66.51,64.7,65.9,134.34,134.49,59.41,185.77,100.23,92.18,45.02,87.93,139.42,89.24,134.6,184.63,29.15,1172.61
12.94,12.76,38.68,117.37,58.58,5.6,77.93,6.51,22.86,38.69,96.44,79.47,194.44,77.83,57.14,77.89,112.99,8.64,7.95,114.13,4.23,97.87,9.36,6.89,8.88,8.86,77.23,76.02,16.83,155.25,57.75,78.1,3.94,11.18,118.47,9.71,75.16,154.85,9.88,855.11
35.92,5.28,27.4,105.14,39.36,3.67,70.92,3.26,62.8,28.17,67.64,69.8,175.27,55.17,40.87,55.03,82.39,2.2,24.18,103.05,3.09,68.7,2.63,3.32,4.31,3.76,54.38,54.87,50.16,139.65,38.43,70.78,2.43,4.71,105.66,5.75,53.79,139.62,25.25,809.43
8.77,73.59,62.94,37.93,90.55,36.5,25.34,57.19,13.98,60.08,148.64,25.69,62.5,120.62,89.4,117.52,179.69,56.6,7.28,36.46,37.15,149.72,57.15,57.47,56.09,57.72,121.43,121.84,12.02,49.26,89.76,25.45,39.43,72.84,37.77,74.71,119.11,49.28,4.12,403.97
10.44,80.56,6.78,5.67,10.81,39.59,4.77,62.31,11.47,5.18,18.05,4.19,9.5,15.82,8.43,13.4,20.56,61.53,5.34,5.32,40.28,17.91,61.79,61.03,61.81,60.95,12.76,14.27,11.46,8.68,11.27,2.26,42.31,82.09,6.9,80.46,13.66,9.57,5.34,143.15
3.73,88.56,5.32,103.89,11.58,44.73,67.62,66.68,4.02,5,16.4,67.59,170.35,13.25,11.42,11.77,21.31,68.24,2.06,102.19,43.7,18.78,66.72,67.34,70.81,66.02,13.61,13.47,4.57,135.98,10,68.67,43.48,89.26,101.45,91.6,12.33,136.23,0.76,777.55
9.57,94.23,44.78,127.31,67.78,49.25,86.8,71.22,17.85,46.37,109.94,85.39,214.35,89.23,68.2,89.64,135.04,71.81,5.38,128.05,46.69,111.38,71.76,70.02,73.42,71.52,88.02,90.12,12.51,169.45,67.86,86.4,48.72,95.29,128.93,94.93,89.23,171.77,5.21,1007.72
28.16,44.36,49.93,44.78,75.87,22.36,29.51,33.93,47.53,50.47,124.45,28.93,73.06,98.77,75.23,100.32,152.33,34.71,17.67,44.16,22.5,125.55,31.95,33.75,33.9,31.34,102.22,101.78,38.07,57.22,75.67,30.32,21.91,42.91,45.2,44.47,102.96,59.02,19.06,445.49
38.07,66.58,28.82,57.88,45.51,32.58,38.23,49.12,62.31,30.05,76.75,39.48,97.63,61.67,43.72,59.71,91.55,50.54,25.11,60.4,33.53,75.82,49.78,47.84,49.98,49.62,59.47,59.8,49.81,77.27,42.88,39.27,33.38,65.92,56.8,65.63,59.43,75.73,24.33,560.92
36.5,50.27,26.64,55.48,37.12,27.82,36.97,37.91,61.68,24.85,63.35,38.81,93.94,51.12,37.16,50.54,74.83,39.64,24.71,54.98,26.61,65.07,38.04,37.71,40.61,39.6,50.91,51.95,49.64,75.81,38.5,37.21,25.25,53.55,56.09,52.82,51.69,75.09,26.3,525.99
37.44,55.58,62.71,19.63,92.73,26,13.7,38.36,59.99,60.85,154.52,11.52,32.18,124.31,93.45,123.49,187.1,40.96,23.75,21.6,28.76,156.1,39.91,40.81,39.73,41.14,123.96,123.47,46.55,24.42,94.57,12.39,25.96,53.41,19.07,51.33,124.64,24.12,24.39,313.18
11.2,34.98,62.05,23.08,94.84,18.86,17.51,26.31,17.66,62.94,157.51,15.87,40.16,124.34,93.71,123.31,186.63,29.19,6.4,23.12,17.97,155.44,28.5,28.76,25.82,28.02,125.15,125.17,15.99,30.72,93.38,15.31,16.85,37.19,24.27,36.18,125.36,31.57,7,281.44
28.58,54.07,26.2,44.6,37.35,27.78,29.2,40.25,47.44,23.94,62.76,30.97,76.16,49.26,37.83,51.69,74.11,40.03,18.89,44.79,26.93,63.06,39.08,40,40.49,40.16,49.47,48.63,37.08,59.75,36.73,28.65,24.44,53.56,45.87,50.92,49.3,60.01,19.2,433.21
40.65,83.31,29.01,68.82,44.67,42.12,47.82,60.74,68.51,30.78,73.95,46.89,114.75,60.22,43.69,58.64,89.08,61.4,28.41,70.61,40.44,76.64,62.41,61.36,60.82,64.63,58.4,59,53.84,95.76,44.22,46.51,41.63,84,70.35,83.76,60.12,93.51,29.52,661.45
20.23,46.37,48.38,38.7,70.93,23.46,26.88,36.97,35.75,45.01,115.69,25.74,64.72,92.97,69.46,93.5,140.84,32.77,15.16,37.97,23.86,117.52,36.28,34.33,33.73,35.64,93.65,95.71,26.84,51.07,70.36,27.12,25.06,46.77,36.56,46.12,93.37,52.68,13.56,394.75
18.56,28.28,15.98,114.08,23.35,13.47,76.96,20.01,28.25,16.93,38.51,76.59,190.52,31.75,22.71,30.69,46.75,22.21,10.72,115.81,14.56,36.94,22.04,22,21.54,21.52,31.81,29.78,24.21,152.68,23.37,78.08,14.5,27.44,112.84,30.14,30.75,153.66,12.85,844.2
36.45,35.41,34.27,122.69,52.27,19.28,78.72,25.81,62.54,36.26,88.03,82.12,202.89,69.46,51.77,69.58,106.45,26.8,26.5,120.31,20.2,88.12,28.01,27.06,26.99,26.34,72.81,68.62,48.31,160.26,52.89,78.85,18.06,35.45,119.55,35.47,71.25,161.06,24.85,949.78
35.78,18.22,5.32,100.34,7.73,8.72,65.32,12.97,59.24,5.03,13.65,64.61,160.97,12.06,8.25,13.9,16.27,13.87,24.1,97.55,9.54,14.35,13.5,12.66,11.69,12.96,10.87,11.63,47.52,132.84,8.23,66.58,10.87,17.34,98.16,16.5,11.52,131.69,22.68,752.06
26.95,13.54,22.5,87.7,35.59,3.8,60.37,8.53,43.81,23.25,57.34,58.05,146.92,45.34,34.42,46.48,68.08,9.37,17.66,88.62,6.28,59.46,9.9,9.16,10.54,8.65,46.67,47.16,32.94,116.54,35.08,58.05,6.16,12.94,88.75,12.7,47.13,116.67,15.64,670.72
1.47,17.43,8.41,78.59,10.12,7.72,52.2,12.45,1.66,7.72,19.58,51.29,132.04,16.27,11.91,15.02,22.75,11.29,-0.19,80.21,9.01,18.91,13.33,13.38,10.9,10.28,13.84,15.04,1.44,102.93,11.97,52.81,8.08,16.55,78.76,14.68,13.44,104.98,0.4,555.59
11.47,29.52,26.39,119.64,40.26,13.16,79.02,21.39,21.44,26.36,69.03,79,199.94,54.39,41.97,52.5,81.02,21.61,8.85,120.29,13.94,68.43,21.37,21.93,21.79,22.25,53.38,53.95,19.18,160.47,40.92,78.9,13.71,29.93,120.32,29.95,54.17,159.39,9.02,878.15
-0.49,35.69,5.89,143.98,7.22,19.11,97.66,25.78,1.12,5.8,13.58,96.12,240.83,9.96,6.59,10.48,13.66,25.74,1.01,145.63,18.79,11.93,25.56,25.42,25.87,25.74,9.01,11.68,1.22,193.51,9.21,96.76,18.95,35.81,144.67,35.04,10.94,192.6,2.65,1001.79
